导出所有已保存的卡图到指定目录,匯出所有已保存的卡圖到指定目錄,Export all saved card images to the selected directory.,Exporter les fichiers d'image de carte enregistrés dans le dossier spécifié,Exportiere gespeicherte Kartenbilder in das gewählte Verzeichnis,Esporta File Immagini Delle Carte Salvate Nella Cartella Specificata,Exportar todas as imagens de Card salvas para a pasta definida,Exportar todas las imágenes de las cartas guardadas al directorio especificado,全ての画像を指定フォルダに輸出する,모든 이미지를 지정 폴더로 내보내기
导出成功。,匯出成功。,Export successful.,Exportation réussie.,Export erfolgreich.,Esportazione Correttamente Effettuata.,Exportado com sucesso.,Exportación exitosa.,ファイル輸出は成功しました。,파일 내보내기 성공
导出失败。,匯出失敗。,Export failed.,Echec de l'exportation.,Export fehlgeschlagen.,Esportazione Fallita.,Falha na exportação.,Exportación fallida.,ファイル輸出は中止または失敗しました。,파일 내보내기 실패
清空卡图,清空卡圖,Clear Card Arts,Effacer les images de cartes,Kartenbilder zurücksetzen,Elimina Immagini Delle Carte,Apagar Imagens de Cards,Limpiar Artes de las Cartas,画像を削除,이미지 삭제
删除所有已导入的自定义卡图,删除所有已導入的自定義卡圖,Delete all imported custom card art.,Effacer toutes les images de cartes personnalisées importées.,Alle importierten DIY-Kartenbilder löschen,Elimina Tutte Le Immagini Delle Carte Importate.,Apagar todas imagens personalizadas de Cards,Eliminar todas las artes de las cartas personalizadas importadas,導入した非公式画像を全て削除する,가져온 비공식 이미지 전부 삭제
清空动态卡图,清空動態卡圖,Clear Animated Card Art,Effacer les illustrations de cartes animées,Animierte Kartengrafiken löschen,Cancella le illustrazioni animate delle carte,Limpar Animação de Arte do Card,Borrar las Artes Animadas de las Cartas,カードアニメションをクリア,애니메이션 카드 초기화
删除所有的动态卡图,刪除所有的動態卡圖,Delete all animated card art.,Supprimer toutes les illustrations animées des cartes,Alle animierten Kartengrafiken löschen,Elimina tutte le Illustrazioni Animate,Deletar todas as Animações de Arte dos Cards,Eliminar todas las artes de las cartas animadas.,カードアニメションを全て削除,모든 애니메이션 카드를 삭제
确定清空,確定清空,Confirm Clear,Confirmez l'effacement,Löschen bestätigen,Conferma Cancellazione,Confirmar,Confirmar Limpieza,削除の確認をしてください,삭제 확인
是否确认删除所有导入的卡图？,是否確認删除所有導入的卡圖？,Are you sure you want to delete all imported card art?,Êtes-vous sûr de supprimer toutes les images de cartes importées ?,Möchtest du wirklich alle importierten Kartenbilder löschen?,Sei Sicuro Di Voler Cancellare Tutte Le Immagini Delle Carte Importate?,Deseja apagar todas as imagens importadas dos Cards?,¿Confirmar la eliminación de todas las artes de las cartas importadas?,導入した画像を全て削除しますか？,가져온 이미지를 전부 삭제하겠습니까?
是否确认删除所有的动态卡图？@n您可以在系统设置中选择关闭动态卡图的显示。,是否刪除所有的動態卡圖？@n您可以在系統設置中選擇關閉動態卡圖的顯示。,Are you sure you want to delete all animated card art?@nYou can disable animated card art in System Settings.,Êtes-vous sûr de vouloir supprimer toutes les illustrations animées des cartes ?@nVous pouvez désactiver l'affichage des illustrations animées des cartes dans les paramètres système.,Möchten Sie wirklich alle animierten Kartengrafiken löschen?@nSie können in den Systemeinstellungen deaktivieren das animierter Kartengrafiken Anzeige werden.,Sei sicuro di voler eliminare tutte le Illustrazioni Animate?@nPuoi disattivare la visualizzazione delle Illustrazioni Animate nelle impostazioni di sistema.,Gostaria de deletar todas as Animações de Arte dos Cards?@nVocê pode desativar a Animação de Arte dos Cards nas Configurações.,¿Seguro que quieres eliminar todas las artes de las cartas animadas?. @nPuedes desactivar la visualización de las Artes de Cartas Animadas en la configuración del sistema.,アニメションを全て削除しますか？@nシステム設定でカードアニメション表示をオフできます。,모든 애니메이션 카드를 삭제하시겠습니까?@n시스템 설정에서 애니메이션 카드 표시를 비활성화 할 수 있습니다.
决斗中不能进行此操作。,決鬥中不能進行此操作。,This operation cannot be performed during a duel.,Cette opération ne peut pas être effectuée en Duel.,Diese Aktion ist im Duell nicht möglich.,Questa Operazione Non Può Essere Effettuata Durante Un Duello.,Não permitido durante duelos.,No se puede realizar esta operación durante un duelo.,,듀얼 중에 이 작업은 실행할 수 없습니다.
导入卡组「[?]」成功。,導入牌組「[?]」成功。,"Deck ""[?]"" imported successfully.","Deck ""[?]"" importé avec succès.",Deck „[?]“ erfolgreich importiert.,"Deck ""[?]"" importato con successo.","Deck ""[?]"" importado com sucesso.","Deck ""[?]"" importado correctamente.",「[?]」デッキは導入は成功しました。,덱 「[?]」 가져오기 성공.
导入回放「[?]」成功。,導入回放「[?]」成功。,"Replay ""[?]"" imported successfully.","Replay ""[?]"" importé avec succès.",Wiederholung „[?]“ erfolgreich importiert.,"Replay ""[?]"" importato con successo.","Replay ""[?]"" importado com sucesso.","Repetición ""[?]"" importada correctamente.",「[?]」リプレイは導入は成功しました。,리플레이 「[?]」 가져오기 성공.
导入扩展卡文件「[?]」成功。,導入擴展卡檔案「[?]」成功。,"Expansion file ""[?]"" imported successfully.","Fichier d'extension ""[?]"" importé avec succès.",Erweiterungsdatei „[?]“ erfolgreich importiert.,"File di espansione ""[?]"" importato con successo.","Ficheiro de expansão ""[?]"" importado com sucesso.","Archivo de expansión ""[?]"" importado correctamente.",「[?]」拡張ファイルは導入は成功しました。,확장 파일 「[?]」 가져오기 성공.
导入卡片数据库「[?]」成功。,導入卡片資料庫「[?]」成功。,"Database file ""[?]"" imported successfully.","Fichier de base de données ""[?]"" importé avec succès.",Datenbankdatei „[?]“ erfolgreich importiert.,"File del database ""[?]"" importato con successo.","Ficheiro da base de dados ""[?]"" importado com sucesso.","Archivo de base de datos ""[?]"" importado correctamente.",「[?]」データベースは導入は成功しました。,데이터베이스 「[?]」 가져오기 성공.
导入字段文件「[?]」成功。,導入字段檔案「[?]」成功。,"String file ""[?]"" imported successfully.","Fichier de chaînes ""[?]"" importé avec succès.",String-Datei „[?]“ erfolgreich importiert.,"File di stringhe ""[?]"" importato con successo.","Ficheiro de textos ""[?]"" importado com sucesso.","Archivo strings.conf ""[?]"" importado correctamente.",「[?]」テキストファイルは導入は成功しました。,텍스트 파일 「[?]」 가져오기 성공.
导入自定义卡图「[?]」成功。,導入自定義卡圖「[?]」成功。,"Custom card art ""[?]"" imported successfully.","Illustration de carte personnalisée ""[?]"" importée avec succès.",Benutzerdefinierte Kartenillustration „[?]“ erfolgreich importiert.,"Illustrazione della carta personalizzata ""[?]"" importata con successo.","Arte de carta personalizada ""[?]"" importada com sucesso.","Arte personalizado de la carta ""[?]"" importada correctamente.",「[?]」非公式画像は導入は成功しました。,비공식 이미지 「[?]」 가져오기 성공.
导入动态卡图「[?]」成功。,導入動態卡圖「[?]」成功。,"Animated card art ""[?]"" imported successfully.","Illustration de carte animée ""[?]"" importée avec succès.",Animierte Kartenillustration „[?]“ erfolgreich importiert.,"Illustrazione animata della carta ""[?]"" importata con successo.","Arte de carta animada ""[?]"" importada com sucesso.","Arte animado de la carta ""[?]"" importada correctamente.",「[?]」カードアニメション導入は成功しました。,애니메이션 카드 「[?]」를 성공적으로 불러왔습니다.
导入背景图成功。,導入背景圖成功。,Background image imported successfully.,Image d'arrière-plan importée avec succès.,Hintergrundbild erfolgreich importiert.,Importazione Dell'immagine Di Sfondo Avvenuta Con Successo.,Fundo importado.,Imagen de fondo importada correctamente.,背景絵の導入が成功しました。,배경화면 가져오기 성공.
#Setting Expansions,,,,,,,,,
扩展卡包,擴展卡包,Expansions,Extensions,Erweiterungen,Espansioni,Pacotes de Expansão,Expansiones,拡張パック,확장 팩
启用扩展卡,啟用擴展卡,Enable Expansions,Activer les extensions,Erweiterungen aktivieren,Abilita Espansioni,Habilitar Expansões,Habilitar Expansiones,拡張パックを有効にする,확장 팩 활성화
是否启用扩展卡支持,是否啟用擴展卡支持,Enable support for expansion packs.,Activer la prise en charge des packs d'extension,Aktiviere Unterstützung für Erweiterungspakete,Abilitare Supporto Per I Pacchetti Di Espansione?,Habilitar suporte a Expansões,¿Habilitar compatibilidad con los paquetes de expansiones?,拡張パックの使用を有効にしますか？,확장 팩 활성화하겠습니까?
清空扩展卡,清空擴展卡,Clear Expansions,Effacer les extensions,Erweiterungen löschen,Cancella Espansioni,Limpar Expansões,Eliminar Expansiones,拡張カードを削除,확장 카드 삭제
删除所有已导入的扩展卡包,删除所有已導入的擴展卡包,Delete all imported expansion packs.,Supprimez tous les fichiers d'extension,Alle importierten Erweiterungsdateien löschen,Elimina Tutti I File Di Espansione,Apagar todos arquivos de Expansões,Eliminar todos los paquetes de expansiones importados,導入した拡張パックを全て削除する,가져온 확장 팩을 전부 삭제
是否确认删除所有导入的扩展卡包？,是否確認删除所有導入的擴展卡包？,Are you sure you want to delete all imported expansion packs?,Êtes-vous sûr de supprimer tous les fichiers d'extension importés ?,Möchtest du wirklich alle importierten Erweiterungsdateien löschen?,Vuoi Eliminare Tutti I File Di Espansione Importati?,Quer mesmo apagar todos os arquivos de Expansões?,¿Confirmar la eliminación de todos los paquetes de expansiones importados?,導入した拡張パックを全て削除しますか？,가져온 확장 팩을 전부 삭제하겠습니까?
更新先行卡,更新先行卡,Update Pre-Release Cards,Mettre à jour les Cartes en avant-première,Prerelease-Karten aktualisieren,Aggiorna Carte Pre-Rilascio,Atualização de Pré-lançamentos,Actualizar Cartas Pre-Lanzadas,非公式・新規カードを更新する,비공식·신규 카드 갱신
下载并更新MC超先行服先行卡,下載並更新MC超先行服先行卡,Download and update MyCard pre-release cards - Translated by the Requiem Server. Inv. Link Kt7Zh5ZvuF,Télécharger et mettre à jour les cartes MyCard en avant-première - Traduit par le serveur Requiem. Lien d'invocation : Kt7Zh5ZvuF,Lade und aktualisiere MyCard Prerelease-Karten - Übersetzt vom Requiem-Server. Inv. Link Kt7Zh5ZvuF,Scarica Ed Aggiorna Le Carte Pre-Rilascio Mycard - Tradotto dal server Requiem. Inv. Link Kt7Zh5ZvuF,Baixa e atualiza cards de Pré-lançamento,Descargar y actualizar los paquetes de expansiones desde MyCard SuperPre Cards - Traducido por el servidor Requiem. Enlace de Inv.: Kt7Zh5ZvuF,Mycard 非公式・新規カードをダウンロードし更新をする,Mycard 비공식·신규 카드를 다운로드하여 갱신 - 레퀴엠 서버에서 번역되었습니다. 링크 Kt7Zh5ZvuF
先行卡已是最新版。,先行卡已是最新版。,The pre-release cards are already up to date.,Les Cartes en avant-première sont déjà à la dernière version.,Prerelease-Karten sind bereits aktuell.,Le Carte Pre-Rilascio Sono Già Alla Loro Ultima Versione.,Os cards de Pré-lançamentos já estão atualizados.,La versión las cartas pre-lanzadas que posees es la más reciente,非公式・新規カードは最新バージョンです。,비공식·신규 카드는 최신 버전입니다.
检查更新中,檢查更新中,Checking for Updates,Vérification de la mise à jour,Update wird geprüft,Controllo Aggiornamento,Verificando atualizações,Comprobando Actualizaciones...,更新データを確認中,갱신 데이터를 확인 중
先行卡更新成功。,先行卡更新成功。,Pre-release cards updated successfully.,Les Cartes en avant-première ont été mises à jour avec succès.,Prerelease-Karten wurden erfolgreich aktualisiert.,Le Carte Pre-Rilascio Sono State Aggiornate Con Successo.,Atualização bem-sucedida.,"Cartas pre-lanzadas actualizadas correctamente,",更新は成功しました。,갱신 성공.
